Community Area,total_replacements_thru_march,community,requires_replacement,pct_requires_replacement,total,Y,N,pct_replaced,pct_poverty,pct_hispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_minority,median_household_income,total_suspected_2021,Block Level LSLR,Breaks Leaks,CIP Sewer and Water Main,Daycare,Equity,Homeowner Initiated,total_replacements_thru_aug,pct_replaced_aug,pct_requiring_replacement_2021,majority_race
ROGERS PARK,,Rogers Park,2993,78.2,3829,54,3775,1.4,18.1,21.1,44.6,23.3,5.8,55.4,59552.90750816104,,,,,,,,,,,no majority
WEST RIDGE,,West Ridge,8988,89.7,10019,119,9899,1.2,17.4,21.9,38.7,11.7,21.8,61.3,71524.00270607827,,,,,,,,,,,no majority
UPTOWN,,Uptown,2011,59.5,3381,43,3338,1.3,20.7,14.0,50.9,20.0,10.4,49.1,68443.89798039797,,,,,,,,,,,white
LINCOLN SQUARE,,Lincoln Square,4686,76.5,6124,110,6014,1.8,9.6,19.8,60.9,4.4,9.2,39.1,93604.9202614379,,,,,,,,,,,white
NORTH CENTER,,North Center,4228,57.5,7353,84,7269,1.1,4.7,13.3,73.1,2.2,6.2,26.9,145156.05647058823,,,,,,,,,,,white
LAKE VIEW,,Lake View,5179,51.8,9995,99,9896,1.0,8.1,9.7,74.2,4.8,6.9,25.8,104135.14078002052,,,,,,,,,,,white
LINCOLN PARK,,Lincoln Park,4414,50.2,8799,68,8731,0.8,8.4,7.5,77.8,3.1,7.5,22.2,137504.27444614208,,,,,,,,,,,white
NEAR NORTH SIDE,,Near North Side,1102,31.1,3545,9,3536,0.3,10.0,7.5,66.2,8.7,13.5,33.8,122602.26006124234,,,,,,,,,,,white
EDISON PARK,,Edison Park,3357,90.6,3705,63,3642,1.7,6.9,13.8,80.7,0.4,1.7,19.3,133209.41737288135,,,,,,,,,,,white
NORWOOD PARK,,Norwood Park,11420,91.9,12429,238,12190,1.9,6.7,18.4,70.6,1.0,7.2,29.4,109002.94945217902,,,,,,,,,,,white
JEFFERSON PARK,,Jefferson Park,6632,92.2,7193,100,7093,1.4,6.0,26.0,57.5,2.3,12.0,42.5,93705.26583493284,,,,,,,,,,,white
FOREST GLEN,,Forest Glen,5973,90.7,6588,96,6492,1.5,4.3,12.0,72.9,0.9,10.2,27.1,138252.48192771085,,,,,,,,,,,white
NORTH PARK,,North Park,3056,86.0,3555,72,3483,2.0,16.5,17.6,41.8,5.1,32.0,58.2,77368.32631578947,,,,,,,,,,,no majority
ALBANY PARK,,Albany Park,5829,87.8,6642,132,6510,2.0,13.6,44.5,33.3,3.8,15.0,66.7,82249.35405790224,,,,,,,,,,,no majority
PORTAGE PARK,,Portage Park,13249,91.6,14466,287,14179,2.0,9.7,41.4,48.4,1.4,5.4,51.6,89490.25048262549,,,,,,,,,,,no majority
IRVING PARK,,Irving Park,8182,83.3,9824,153,9671,1.6,10.5,40.4,43.5,3.6,8.6,56.5,88437.08784596871,,,,,,,,,,,no majority
DUNNING,,Dunning,11030,90.8,12145,126,12019,1.0,8.8,35.4,54.2,2.2,5.7,45.8,84684.03308305959,,,,,,,,,,,white
MONTCLARE,,Montclare,2719,89.5,3037,38,2999,1.3,10.2,57.5,31.9,7.4,2.6,68.1,78840.9921875,,,,,,,,,,,latino
BELMONT CRAGIN,,Belmont Cragin,12483,94.0,13286,164,13122,1.2,14.7,79.1,13.1,3.3,2.8,86.9,67003.54108216433,,,,,,,,,,,latino
HERMOSA,,Hermosa,3560,92.9,3832,51,3781,1.3,14.9,81.9,11.6,3.4,2.1,88.4,67038.63687150838,,,,,,,,,,,latino
AVONDALE,,Avondale,5323,83.1,6407,109,6298,1.7,13.2,51.2,37.3,2.8,4.8,62.7,92644.1112804878,,,,,,,,,,,latino
LOGAN SQUARE,,Logan Square,8509,69.5,12238,259,11979,2.1,10.7,34.5,51.5,5.3,4.9,48.5,103751.88618720802,,,,,,,,,,,white
HUMBOLDT PARK,,Humboldt Park,8248,87.4,9432,154,9278,1.6,26.2,52.1,11.8,31.9,2.4,88.2,53567.3288209607,,,,,,,,,,,latino
WEST TOWN,,West Town,8150,56.0,14565,190,14375,1.3,8.9,19.8,63.2,5.3,6.1,36.8,134132.87031316297,,,,,,,,,,,white
AUSTIN,,Austin,16657,91.5,18200,422,17778,2.3,24.7,20.6,5.6,71.1,0.6,94.4,44882.26510989011,,,,,,,,,,,black
WEST GARFIELD PARK,,West Garfield Park,2634,85.7,3072,61,3011,2.0,31.6,5.8,1.8,91.7,0.2,98.2,38177.93571428571,,,,,,,,,,,black
EAST GARFIELD PARK,,East Garfield Park,2475,72.2,3427,58,3369,1.7,39.0,8.3,6.6,83.2,0.6,93.4,36810.98032407407,,,,,,,,,,,black
NEAR WEST SIDE,,Near West Side,2436,39.6,6151,29,6122,0.5,15.8,10.9,42.7,24.6,17.0,57.3,110650.63049685894,,,,,,,,,,,no majority
NORTH LAWNDALE,,North Lawndale,4498,77.8,5782,112,5670,1.9,33.2,16.0,5.1,76.2,0.4,94.9,37246.973195876286,,,,,,,,,,,black
SOUTH LAWNDALE,,South Lawndale,8611,92.3,9331,143,9188,1.5,21.2,81.0,5.8,12.2,0.7,94.2,47514.587525150906,,,,,,,,,,,latino
LOWER WEST SIDE,,Lower West Side,4319,80.1,5395,95,5300,1.8,16.1,68.4,22.0,3.3,3.6,78.0,71733.87472924188,,,,,,,,,,,latino
THE LOOP,,The Loop,175,15.7,1112,0,1112,0.0,9.6,12.1,50.9,9.3,23.6,49.1,119835.99246704332,,,,,,,,,,,white
NEAR SOUTH SIDE,,Near South Side,159,11.3,1406,0,1406,0.0,7.5,7.3,50.2,21.1,17.1,49.8,124965.99801980198,,,,,,,,,,,white
ARMOUR SQUARE,,Armour Square,1024,53.5,1915,14,1901,0.7,24.8,5.1,15.6,12.2,63.6,84.4,43502.61521265134,,,,,,,,,,,asian
DOUGLAS,,Douglas,780,52.5,1485,14,1471,0.9,27.8,7.3,9.1,63.5,13.6,90.9,47425.76843657817,,,,,,,,,,,black
OAKLAND,,Oakland,173,27.3,634,5,629,0.8,35.3,5.3,5.9,84.3,0.5,94.1,29958.68548387097,,,,,,,,,,,black
FULLER PARK,,Fuller Park,642,86.2,745,8,737,1.1,52.9,11.1,3.1,75.7,0.6,96.9,17657.246404799072,,,,,,,,,,,black
GRAND BOULEVARD,,Grand Boulevard,1739,57.4,3028,35,2993,1.2,25.0,4.6,7.0,82.1,0.4,93.0,49091.59075907591,,,,,,,,,,,black
KENWOOD,,Kenwood,908,60.0,1514,16,1498,1.1,23.9,3.6,19.2,65.0,6.0,80.8,61077.980680061824,,,,,,,,,,,black
WASHINGTON PARK,,Washington Park,822,76.3,1078,18,1060,1.7,45.8,1.4,1.6,94.9,0.1,98.4,27868.016025641024,,,,,,,,,,,black
HYDE PARK,,Hyde Park,1573,68.5,2297,37,2260,1.6,21.9,8.0,40.2,28.0,15.5,59.8,68165.69923857867,,,,,,,,,,,no majority
WOODLAWN,,Woodlawn,2379,73.2,3249,54,3195,1.7,31.5,2.7,10.2,79.1,3.3,89.8,35619.408577070564,,,,,,,,,,,black
SOUTH SHORE,,South Shore,6143,87.7,7004,132,6872,1.9,29.5,2.8,3.3,91.4,0.5,96.7,39961.7556178735,,,,,,,,,,,black
CHATHAM,,Chatham,7007,91.8,7632,174,7458,2.3,25.2,3.0,1.8,93.3,0.3,98.2,42090.65788369558,,,,,,,,,,,black
AVALON PARK,,Avalon Park,3265,93.8,3482,85,3397,2.4,17.3,0.9,0.3,93.7,0.1,99.7,55946.12932624197,,,,,,,,,,,black
SOUTH CHICAGO,,South Chicago,6391,91.8,6959,144,6815,2.1,29.3,23.1,4.6,70.1,0.2,95.4,42455.18262411348,,,,,,,,,,,black
BURNSIDE,,Burnside,762,88.2,864,12,852,1.4,23.5,5.2,0.0,91.8,0.0,100.0,48227.20253164557,,,,,,,,,,,black
CALUMET HEIGHTS,,Calumet Heights,4898,96.5,5076,73,5003,1.4,16.0,5.7,0.5,92.0,0.2,99.5,68354.36528497409,,,,,,,,,,,black
ROSELAND,,Roseland,12420,95.1,13062,251,12811,1.9,21.7,2.4,2.6,92.3,0.2,97.4,50453.59371884347,,,,,,,,,,,black
PULLMAN,,Pullman,2006,92.3,2173,42,2131,1.9,21.4,7.7,13.4,73.7,1.3,86.6,54684.84615384616,,,,,,,,,,,black
SOUTH DEERING,,South Deering,4425,93.4,4737,101,4636,2.1,29.7,35.1,4.7,59.3,0.1,95.3,37094.956647398845,,,,,,,,,,,black
EAST SIDE,,East Side,5630,94.1,5984,78,5906,1.3,16.2,86.0,10.9,2.2,0.2,89.1,62025.09509519473,,,,,,,,,,,latino
WEST PULLMAN,,West Pullman,8846,94.3,9376,168,9208,1.8,24.5,7.6,1.2,89.0,0.1,98.8,50429.64453125,,,,,,,,,,,black
RIVERDALE,,Riverdale,535,87.3,613,5,608,0.8,55.1,1.8,0.3,96.2,0.0,99.7,20515.521875,,,,,,,,,,,black
HEGEWISCH,,Hegewisch,2793,91.2,3064,35,3029,1.1,11.0,53.3,32.4,13.0,0.9,67.6,59554.06721893305,,,,,,,,,,,latino
GARFIELD RIDGE,,Garfield Ridge,10378,91.2,11379,160,11219,1.4,7.3,58.7,35.1,3.5,1.7,64.9,91761.53365384616,,,,,,,,,,,latino
ARCHER HEIGHTS,,Archer Heights,2601,88.4,2941,42,2899,1.4,9.0,81.4,12.2,1.1,4.8,87.8,67397.23409090909,,,,,,,,,,,latino
BRIGHTON PARK,,Brighton Park,6769,90.1,7511,78,7432,1.0,19.6,78.7,7.0,2.2,11.5,93.0,58095.00362318841,,,,,,,,,,,latino
MCKINLEY PARK,,McKinley Park,2713,78.1,3472,53,3419,1.5,11.6,55.7,13.8,2.6,26.4,86.2,76145.6170212766,,,,,,,,,,,latino
BRIDGEPORT,,Bridgeport,4939,67.7,7295,144,7151,2.0,15.2,22.5,31.6,2.7,40.7,68.4,73230.95786950544,,,,,,,,,,,no majority
NEW CITY,,New City,7043,86.6,8130,109,8021,1.3,27.2,68.2,9.5,18.4,3.2,90.5,49356.367045169995,,,,,,,,,,,latino
WEST ELSDON,,West Elsdon,3958,93.1,4253,80,4173,1.9,10.4,83.1,12.7,0.9,3.2,87.3,70781.33247863248,,,,,,,,,,,latino
GAGE PARK,,Gage Park,6318,94.8,6665,105,6560,1.6,15.5,90.7,2.2,5.9,0.8,97.8,57445.49193548387,,,,,,,,,,,latino
CLEARING,,Clearing,6117,88.7,6897,93,6803,1.3,7.8,64.4,32.4,1.4,0.5,67.6,78378.24324324324,,,,,,,,,,,latino
WEST LAWN,,West Lawn,7240,96.0,7539,93,7446,1.2,15.6,86.8,9.7,2.0,1.4,90.3,73410.70810313076,,,,,,,,,,,latino
CHICAGO LAWN,,Chicago Lawn,10220,95.9,10662,185,10477,1.7,22.5,61.7,2.1,33.4,0.5,97.9,48782.498435054775,,,,,,,,,,,latino
WEST ENGLEWOOD,,West Englewood,8231,93.7,8782,235,8547,2.7,33.1,19.9,0.6,76.4,0.7,99.4,34375.19316239316,,,,,,,,,,,black
ENGLEWOOD,,Englewood,5571,90.4,6165,118,6047,1.9,32.7,7.0,1.4,88.0,0.8,98.6,29726.017064846415,,,,,,,,,,,black
GREATER GRAND CROSSING,,Greater Grand Crossing,6506,90.7,7175,139,7036,1.9,27.4,4.4,1.1,91.3,1.0,98.9,40337.9152360515,,,,,,,,,,,black
ASHBURN,,Ashburn,12012,95.4,12597,171,12426,1.4,16.0,46.4,8.5,43.0,0.7,91.5,80909.4494764398,,,,,,,,,,,no majority
AUBURN GRESHAM,,Auburn Gresham,10822,93.1,11619,266,11353,2.3,24.9,4.0,0.8,93.0,0.7,99.2,45489.41258741259,,,,,,,,,,,black
BEVERLY,,Beverly,6533,94.1,6939,93,6846,1.3,5.9,6.8,56.6,31.2,0.7,43.4,127056.10667752444,,,,,,,,,,,white
WASHINGTON HEIGHTS,,Washington Heights,8110,93.4,8682,165,8517,1.9,15.6,1.6,1.3,96.1,0.0,98.7,69525.5745967742,,,,,,,,,,,black
MOUNT GREENWOOD,,Mount Greenwood,5955,91.4,6517,56,6461,0.9,5.6,11.2,81.4,2.6,0.9,18.6,115749.1003236246,,,,,,,,,,,white
MORGAN PARK,,Morgan Park,6793,92.4,7349,167,7182,2.3,12.7,4.6,28.7,60.3,1.1,71.3,73838.7329207156,,,,,,,,,,,black
O'HARE,,O'Hare,1216,87.0,1397,5,1392,0.4,8.4,14.5,62.2,6.5,13.4,37.8,76283.96250113004,,,,,,,,,,,white
EDGEWATER,,Edgewater,3518,74.2,4743,78,4665,1.6,13.6,15.4,53.5,12.3,12.7,46.5,70187.74486116119,,,,,,,,,,,white
